Title,Year,Ratings
"<h3 class=""ipc-title__text"">225. La haine</h3>","1995,1h 38m,Not Rated,8.1, (,194K,),Rate",8.1
"<h3 class=""ipc-title__text"">226. The Exorcist</h3>","1973,2h 2m,R,8.1, (,451K,),Rate",8.1
"<h3 class=""ipc-title__text"">227. Rush</h3>","2013,2h 3m,R,8.1, (,509K,),Rate",8.1
"<h3 class=""ipc-title__text"">228. Network</h3>","1976,2h 1m,R,8.1, (,169K,),Rate",8.1
"<h3 class=""ipc-title__text"">229. Pirates of the Caribbean: The Curse of the Black Pearl</h3>","2003,2h 23m,PG-13,8.1, (,1.2M,),Rate",8.1
"<h3 class=""ipc-title__text"">230. Stand by Me</h3>","1986,1h 29m,R,8.1, (,438K,),Rate",8.1
"<h3 class=""ipc-title__text"">231. The Wizard of Oz</h3>","1939,1h 42m,G,8.1, (,426K,),Rate",8.1
"<h3 class=""ipc-title__text"">232. The Incredibles</h3>","2004,1h 55m,PG,8.0, (,801K,),Rate",8
"<h3 class=""ipc-title__text"">233. Into the Wild</h3>","2007,2h 28m,R,8.1, (,654K,),Rate",8.1
"<h3 class=""ipc-title__text"">234. Hachi: A Dog's Tale</h3>","2009,1h 33m,G,8.1, (,308K,),Rate",8.1
"<h3 class=""ipc-title__text"">235. The Handmaiden</h3>","2016,2h 25m,Not Rated,8.1, (,170K,),Rate",8.1
"<h3 class=""ipc-title__text"">236. My Father and My Son</h3>","2005,1h 52m,Not Rated,8.2, (,92K,),Rate",8.2
"<h3 class=""ipc-title__text"">237. To Be or Not to Be</h3>","1942,1h 39m,Passed,8.1, (,42K,),Rate",8.1
"<h3 class=""ipc-title__text"">238. The Sound of Music</h3>","1965,2h 52m,G,8.1, (,258K,),Rate",8.1
"<h3 class=""ipc-title__text"">239. The Grapes of Wrath</h3>","1940,2h 9m,Passed,8.1, (,99K,),Rate",8.1
"<h3 class=""ipc-title__text"">240. Groundhog Day</h3>","1993,1h 41m,PG,8.0, (,680K,),Rate",8
"<h3 class=""ipc-title__text"">241. The Battle of Algiers</h3>","1966,2h 1m,Not Rated,8.1, (,65K,),Rate",8.1
"<h3 class=""ipc-title__text"">242. Amores Perros</h3>","2000,2h 34m,R,8.1, (,252K,),Rate",8.1
"<h3 class=""ipc-title__text"">243. Rebecca</h3>","1940,2h 10m,Approved,8.1, (,146K,),Rate",8.1
"<h3 class=""ipc-title__text"">244. Cool Hand Luke</h3>","1967,2h 7m,GP,8.1, (,187K,),Rate",8.1
"<h3 class=""ipc-title__text"">245. The Iron Giant</h3>","1999,1h 26m,PG,8.1, (,224K,),Rate",8.1
"<h3 class=""ipc-title__text"">246. The Help</h3>","2011,2h 26m,PG-13,8.1, (,489K,),Rate",8.1
"<h3 class=""ipc-title__text"">247. It Happened One Night</h3>","1934,1h 45m,Passed,8.1, (,111K,),Rate",8.1
"<h3 class=""ipc-title__text"">248. The 400 Blows</h3>","1959,1h 39m,Not Rated,8.1, (,127K,),Rate",8.1
"<h3 class=""ipc-title__text"">249. Drishyam</h3>","2015,2h 43m,Not Rated,8.2, (,93K,),Rate",8.2
"<h3 class=""ipc-title__text"">250. Aladdin</h3>","1992,1h 30m,G,8.0, (,462K,),Rate",8
