Title,Year,Ratings
"<h3 class=""ipc-title__text"">51. Once Upon a Time in the West</h3>","1968,2h 46m,PG-13,8.5, (,347K,),Rate",8.5
"<h3 class=""ipc-title__text"">52. Alien</h3>","1979,1h 57m,R,8.5, (,942K,),Rate",8.5
"<h3 class=""ipc-title__text"">53. 12th Fail</h3>","2023,2h 27m,9.1, (,100K,),Rate",9.1
"<h3 class=""ipc-title__text"">54. City Lights</h3>","1931,1h 27m,G,8.5, (,195K,),Rate",8.5
"<h3 class=""ipc-title__text"">55. Apocalypse Now</h3>","1979,2h 27m,R,8.4, (,705K,),Rate",8.4
"<h3 class=""ipc-title__text"">56. Django Unchained</h3>","2012,2h 45m,R,8.5, (,1.7M,),Rate",8.5
"<h3 class=""ipc-title__text"">57. Memento</h3>","2000,1h 53m,R,8.4, (,1.3M,),Rate",8.4
"<h3 class=""ipc-title__text"">58. WALL·E</h3>","2008,1h 38m,G,8.4, (,1.2M,),Rate",8.4
"<h3 class=""ipc-title__text"">59. Raiders of the Lost Ark</h3>","1981,1h 55m,PG,8.4, (,1M,),Rate",8.4
"<h3 class=""ipc-title__text"">60. The Lives of Others</h3>","2006,2h 17m,R,8.4, (,408K,),Rate",8.4
"<h3 class=""ipc-title__text"">61. Sunset Blvd.</h3>","1950,1h 50m,Passed,8.4, (,235K,),Rate",8.4
"<h3 class=""ipc-title__text"">62. Paths of Glory</h3>","1957,1h 28m,Approved,8.4, (,211K,),Rate",8.4
"<h3 class=""ipc-title__text"">63. Avengers: Infinity War</h3>","2018,2h 29m,PG-13,8.4, (,1.2M,),Rate",8.4
"<h3 class=""ipc-title__text"">64. Spider-Man: Into the Spider-Verse</h3>","2018,1h 57m,PG,8.4, (,660K,),Rate",8.4
"<h3 class=""ipc-title__text"">65. The Shining</h3>","1980,2h 26m,R,8.4, (,1.1M,),Rate",8.4
"<h3 class=""ipc-title__text"">66. Witness for the Prosecution</h3>","1957,1h 56m,Approved,8.4, (,136K,),Rate",8.4
"<h3 class=""ipc-title__text"">67. The Great Dictator</h3>","1940,2h 5m,G,8.4, (,236K,),Rate",8.4
"<h3 class=""ipc-title__text"">68. Aliens</h3>","1986,2h 17m,R,8.4, (,757K,),Rate",8.4
